[2018-01-03 10:21:52.882][DBG][MeetMgr:8900:4] MeetingMgrSDK init(sdkver:1.4.0 2017-11-16_14:28:56)...
[2018-01-03 10:21:52.882][DBG][MeetMgr:8900:5] init ICE moudle, Timeout:90000
[2018-01-03 10:21:52.883][DBG][ICE:8900:6] initialize communicator for MeetingCallAPI, timeout:90000, ConnectTimeout:30000...
[2018-01-03 10:21:52.883][DBG][ICE:8900:7] initialize communicator for MeetingCallAPI...finished
[2018-01-03 10:21:52.883][INF][SIG:8900:8] version: SIGClient 1.0.3.0 Release, for Win32, Built on Nov  3 2017,  12:35:42
[2018-01-03 10:21:52.883][INF][SIG:8900:9] MainFrame::prepare in
[2018-01-03 10:21:52.883][INF][SIG:8900:10] MainFrame::prepare out
[2018-01-03 10:21:52.883][INF][SIG:8900:11] MainFrame::initialize in
[2018-01-03 10:21:52.883][INF][SIG:8900:12] MainFrame::initialize out
[2018-01-03 10:21:52.883][INF][SIG:8900:13] SIGClientInit out
[2018-01-03 10:21:52.883][INF][SIG:8900:14] SIGClientStart in
[2018-01-03 10:21:52.883][INF][SIG:8900:15] SIGClientStart out
[2018-01-03 10:21:52.883][INF][SIG:6452:16] MainService::WorkThread start run.
[2018-01-03 10:21:52.884][DBG][Main:8900:17] MeetingSDK init(sdkver:3.8.3 2017-11-16_14:30:36)...
[2018-01-03 10:21:52.884][DBG][Main:8900:18] MeetingSDK testMode:0, shName:
[2018-01-03 10:21:52.884][DBG][httpLink:8900:19] setHttpTimeout:90000
[2018-01-03 10:21:52.884][DBG][ICE:8900:20] initialize communicator for MeetingSDK, timeout:90000, ConnectTimeout:30000...
[2018-01-03 10:21:52.884][DBG][ICE:8900:21] initialize communicator for MeetingSDK...finished
[2018-01-03 10:21:52.885][DBG][Main:8900:22] Init model:LOGIN
[2018-01-03 10:21:52.885][DBG][Main:8900:23] Init model:MEMBER
[2018-01-03 10:21:52.885][DBG][Main:8900:24] Init model:PSTNCTL
[2018-01-03 10:21:52.885][DBG][Main:8900:25] Init model:INVITE
[2018-01-03 10:21:52.885][DBG][Main:8900:26] Init model:MSClient
[2018-01-03 10:21:52.885][DBG][MSCLient:8900:27] MscIncLib::SIGClientInit...
[2018-01-03 10:21:52.885][INF][SIG:8900:28] SIGClientInit in
[2018-01-03 10:21:52.885][INF][SIG:8900:29] version: SIGClient 1.0.3.0 Release, for Win32, Built on Nov  3 2017,  12:35:42
[2018-01-03 10:21:52.885][INF][SIG:8900:30] SIGClientInit out
[2018-01-03 10:21:52.885][DBG][MSCLient:8900:31] MscIncLib::MSCInit...
[2018-01-03 10:21:52.885][INF][MS:8900:32] version: MSClient 1.2.3.5 Release, for Win32, Built on Nov  3 2017,  12:48:57
